"series","o","h","l","c","v"
"20220802T","294.0033","307.8333","292.6666","300.5866","95577490"
"20220803T","305.0","309.55","301.15","307.3966","80091128"
"20220804T","311.0","313.6066","305.0","308.6333","72256327"
"20220805T","302.67","304.6066","285.5446","288.17","113172911"
"20220808T","295.0","305.2","289.0854","290.4233","99365290"
"20220809T","290.2933","292.3966","279.3533","283.3333","86244699"
"20220810T","297.0666","297.51","283.37","294.3566","94918869"
"20220811T","296.5133","298.2366","285.8333","286.63","70155067"
"20220812T","289.415","300.16","285.0333","300.03","79657298"
"20220815T","301.7866","313.1333","301.23","309.32","89359179"
"20220816T","311.6666","314.6666","302.8833","306.5633","88136319"
"20220817T","303.3966","309.6566","300.0333","303.9966","68765977"
"20220818T","306.0","306.5","301.8533","302.87","47500535"
"20220819T","299.0","300.36","292.5","296.6666","61395396"
"20220822T","291.9133","292.4","286.2966","289.9133","55843356"
"20220823T","291.4533","298.8266","287.9233","296.4533","63985056"
"20220824T","297.5633","303.6466","296.5","297.0966","57259716"
"20220825T","302.36","302.96","291.6","296.07","53230010"
"20220826T","297.43","302.0","287.47","288.09","57163950"
"20220829T","282.83","287.74","280.7","284.82","41864740"
"20220830T","287.865","288.48","272.65","277.7","50541760"
"20220831T","280.62","281.25","271.81","275.61","52107340"
"20220901T","272.575","277.58","266.15","277.16","54287020"
"20220902T","281.065","282.35","269.08","270.21","50890090"
"20220906T","272.675","275.99","265.74","274.42","55859980"
"20220907T","273.1","283.84","272.27","283.7","50028920"
"20220908T","281.3","289.5","279.76","289.26","53713120"
"20220909T","291.67","299.85","291.245","299.68","54470850"
"20220912T","300.72","305.49","300.4","304.42","48674600"
"20220913T","292.9","297.3999","290.4","292.13","68229620"
"20220914T","292.24","306.0","291.64","302.61","72628650"
"20220915T","301.825","309.12","300.7247","303.75","64795520"
"20220916T","299.605","303.71","295.6005","303.35","87087790"
"20220919T","300.09","309.84","297.8","309.07","60231160"
"20220920T","306.91","313.33","305.58","308.73","61642780"
"20220921T","308.29","313.8","300.63","300.8","62555660"
"20220922T","299.86","301.29","285.82","288.59","70545410"
"20220923T","283.09","284.5","272.82","275.33","63748360"
"20220926T","271.83","284.09","270.31","276.01","58076910"
"20220927T","283.84","288.67","277.51","282.94","61925190"
"20220928T","283.08","289.0","277.57","287.81","54664810"
"20220929T","282.76","283.65","265.78","268.21","77620640"
"20220930T","266.145","275.57","262.47","265.25","67726600"
"20221003T","254.5","255.16","241.01","242.4","98363540"
"20221004T","250.52","257.5","242.01","249.44","109578500"
"20221005T","245.01","246.6697","233.27","240.81","86982670"
"20221006T","239.44","244.58","235.35","238.13","69298440"
"20221007T","233.935","234.5715","222.02","223.07","83916800"
"20221010T","223.93","226.99","218.3582","222.96","67925020"
"20221011T","220.945","225.75","215.0","216.5","77013200"
"20221012T","215.33","219.2999","211.51","217.24","66860700"
"20221013T","208.3","222.99","206.22","221.72","91483050"
"20221014T","224.01","226.26","204.16","204.99","94124510"
"20221017T","210.04","221.86","209.45","219.35","79428810"
"20221018T","229.5","229.82","217.25","220.19","75891910"
"20221019T","219.8","222.93","217.78","222.04","66571480"
"20221020T","208.28","215.55","202.0","207.28","117798100"
"20221021T","206.415","214.66","203.8","214.44","75713750"
"20221024T","205.82","213.5","198.5863","211.25","100446800"
"20221025T","210.1","224.3498","210.0","222.415","96507870"
"20221026T","219.4","230.6","218.2","224.64","85327080"
"20221027T","229.77","233.81","222.85","225.09","61638820"
"20221028T","225.4","228.86","216.35","228.52","69152390"
"20221031T","226.19","229.85","221.94","227.54","61554340"
"20221101T","234.05","237.3951","227.28","227.82","62688820"
"20221102T","226.04","227.8699","214.82","214.98","63070290"
"20221103T","211.36","221.2","210.14","215.31","56538850"
"20221104T","222.6","223.8","203.08","207.47","98622210"
"20221107T","208.65","208.9","196.66","197.08","93916520"
"20221108T","194.02","195.2","186.75","191.3","128803400"
"20221109T","190.775","195.89","177.12","177.59","127062700"
"20221110T","189.9","191.0","180.03","190.72","132703000"
"20221111T","186.0","196.52","182.59","195.97","114403600"
"20221114T","192.77","195.73","186.34","190.95","92226650"
"20221115T","195.88","200.8237","192.06","194.42","91293790"
"20221116T","191.51","192.57","185.66","186.92","66567600"
"20221117T","183.96","186.16","180.9","183.17","64335970"
"20221118T","185.05","185.19","176.55","180.19","76048870"
"20221121T","175.85","176.77","167.54","167.87","92882710"
"20221122T","168.63","170.92","166.185","169.91","78452330"
"20221123T","173.57","183.62","172.5","183.2","109536700"
"20221125T","185.06","185.2","180.63","182.86","50672740"
"20221128T","179.96","188.5","179.0","182.92","93038150"
"20221129T","184.99","186.38","178.75","180.83","83357110"
"20221130T","182.43","194.76","180.6301","194.7","109186400"
"20221201T","197.08","198.92","191.8","194.7","80046210"
"20221202T","191.78","196.25","191.11","194.86","73645920"
"20221205T","189.44","191.27","180.55","182.45","93122670"
"20221206T","181.215","183.65","175.33","179.82","92150820"
"20221207T","175.03","179.38","172.218","174.04","84213280"
"20221208T","172.2","175.2","169.06","173.44","97624490"
"20221209T","173.84","182.5","173.36","179.05","104872300"
"20221212T","176.1","177.37","167.52","167.82","109794500"
"20221213T","174.87","175.05","156.91","160.95","175862700"
"20221214T","159.25","161.62","155.31","156.8","140682300"
"20221215T","153.44","160.9299","153.28","157.67","122334500"
"20221216T","159.635","160.99","150.04","150.23","139032200"
"20221219T","154.0","155.25","145.82","149.87","139390600"
"20221220T","146.05","148.47","137.66","137.8","159563300"
"20221221T","139.335","141.26","135.89","137.57","145417400"
"20221222T","136.0","136.63","122.26","125.35","210090300"
