"series","o","h","l","c","v"
"20100629T","1.2667","1.6667","1.1693","1.5927","281267109"
"20100630T","1.7193","2.0279","1.5533","1.5887","257478021"
"20100701T","1.6667","1.728","1.3513","1.464","123251773"
"20100702T","1.5333","1.54","1.2473","1.28","77036886"
"20100706T","1.3333","1.3333","1.0553","1.074","102871329"
"20100707T","1.0933","1.1087","0.9987","1.0533","103660433"
"20100708T","1.076","1.168","1.038","1.164","115663997"
"20100709T","1.172","1.1933","1.1033","1.16","60728025"
"20100712T","1.1967","1.2047","1.1333","1.1367","32983034"
"20100713T","1.1596","1.2427","1.1267","1.2093","40125880"
"20100714T","1.196","1.3433","1.184","1.3227","62898119"
"20100715T","1.3293","1.4333","1.2667","1.326","56122862"
"20100716T","1.38","1.42","1.3367","1.376","39301630"
"20100719T","1.4247","1.4833","1.3947","1.4607","37240181"
"20100720T","1.4567","1.4567","1.3367","1.3533","27362296"
"20100721T","1.3773","1.3933","1.3","1.348","18772371"
"20100722T","1.3667","1.4167","1.358","1.4","14359058"
"20100723T","1.4127","1.4373","1.404","1.4193","9803230"
"20100726T","1.4333","1.4333","1.3533","1.3967","13832663"
"20100727T","1.394","1.412","1.3507","1.37","9295120"
"20100728T","1.37","1.3933","1.3673","1.3813","7007741"
"20100729T","1.3847","1.392","1.3333","1.3567","9238645"
"20100730T","1.3467","1.3627","1.3033","1.3293","6402447"
"20100802T","1.3667","1.398","1.3555","1.3947","10773670"
"20100803T","1.4","1.4633","1.388","1.4633","18455226"
"20100804T","1.4633","1.4787","1.39","1.4173","13687883"
"20100805T","1.436","1.4367","1.3367","1.3633","11942694"
"20100806T","1.34","1.344","1.3013","1.306","11127564"
"20100809T","1.3267","1.332","1.2967","1.3067","12189834"
"20100810T","1.31","1.31","1.2547","1.2687","19219280"
"20100811T","1.246","1.2587","1.19","1.1933","11935674"
"20100812T","1.1867","1.1933","1.1593","1.1733","10353610"
"20100813T","1.212","1.23","1.1774","1.2213","9508060"
"20100816T","1.23","1.2533","1.2174","1.252","7285661"
"20100817T","1.264","1.2933","1.252","1.2767","6718212"
"20100818T","1.306","1.306","1.24","1.2513","8995976"
"20100819T","1.236","1.2833","1.222","1.2527","8686226"
"20100820T","1.2433","1.274","1.234","1.2733","4433983"
"20100823T","1.2727","1.3593","1.2667","1.342","16320427"
"20100824T","1.2833","1.314","1.2633","1.28","10094605"
"20100825T","1.2773","1.332","1.2373","1.3267","7549331"
"20100826T","1.326","1.3513","1.3067","1.3167","6499287"
"20100827T","1.3167","1.3243","1.3","1.3133","5693127"
"20100830T","1.3133","1.346","1.3073","1.3247","10989460"
"20100831T","1.3107","1.3193","1.2887","1.2987","3015178"
"20100901T","1.308","1.3793","1.3067","1.3633","7423271"
"20100902T","1.358","1.416","1.354","1.404","7305896"
"20100903T","1.3913","1.42","1.3773","1.4033","6518337"
"20100907T","1.374","1.4","1.3667","1.3693","3650023"
"20100908T","1.3773","1.3967","1.3733","1.3933","4325728"
"20100909T","1.4","1.4033","1.3793","1.3807","5642952"
"20100910T","1.3833","1.3953","1.3173","1.3447","5798562"
"20100913T","1.3927","1.3933","1.3667","1.3813","5410542"
"20100914T","1.3693","1.44","1.3687","1.408","9819430"
"20100915T","1.3987","1.4667","1.386","1.4653","10268365"
"20100916T","1.4767","1.544","1.3893","1.396","40261180"
"20100917T","1.4013","1.4213","1.32","1.3487","17976861"
"20100920T","1.378","1.4233","1.344","1.4037","14212118"
"20100921T","1.3927","1.4367","1.378","1.3847","11939994"
"20100922T","1.3913","1.3967","1.32","1.3247","14442233"
"20100923T","1.326","1.3427","1.3","1.304","10021135"
"20100924T","1.33","1.346","1.31","1.34","8683301"
"20100927T","1.36","1.3873","1.3367","1.3687","6244452"
"20100928T","1.4027","1.4327","1.384","1.4267","18216966"
"20100929T","1.4127","1.4687","1.4087","1.4653","29536440"
"20100930T","1.4667","1.4767","1.346","1.3603","31163039"
"20101001T","1.3793","1.3833","1.354","1.3733","8964611"
"20101004T","1.362","1.4113","1.3533","1.3993","9653980"
"20101005T","1.41","1.4187","1.4007","1.408","4979038"
"20101006T","1.404","1.4172","1.3547","1.364","4700353"
"20101007T","1.3713","1.376","1.356","1.362","2113799"
"20101008T","1.362","1.386","1.3593","1.362","3995983"
"20101011T","1.3627","1.3799","1.338","1.3493","2564909"
"20101012T","1.3467","1.3522","1.3353","1.3493","3658678"
"20101013T","1.376","1.39","1.3573","1.3693","4728883"
"20101014T","1.4","1.402","1.36","1.3833","4419298"
"20101015T","1.3927","1.3933","1.35","1.3693","4269673"
"20101018T","1.368","1.376","1.348","1.3487","2440934"
"20101019T","1.3467","1.3604","1.3333","1.3367","3676903"
"20101020T","1.344","1.3793","1.336","1.3767","4686658"
"20101021T","1.374","1.3967","1.3633","1.3833","6248982"
"20101022T","1.3787","1.3953","1.37","1.3813","2415314"
"20101025T","1.396","1.3987","1.382","1.39","1776209"
"20101026T","1.3867","1.458","1.3673","1.424","9912610"
"20101027T","1.4167","1.4253","1.3767","1.4","5347497"
"20101028T","1.426","1.4333","1.3973","1.4127","3362848"
"20101029T","1.4093","1.4567","1.4035","1.456","4207978"
"20101101T","1.4627","1.5167","1.4207","1.4273","6829257"
"20101102T","1.4453","1.4586","1.4033","1.4167","4836973"
"20101103T","1.4187","1.5","1.4107","1.4513","5588982"
"20101104T","1.5067","1.6887","1.4767","1.66","28100356"
"20101105T","1.658","1.6647","1.5813","1.6293","15164182"
"20101108T","1.6333","1.6667","1.602","1.6653","7640621"
"20101109T","1.6667","1.7127","1.6033","1.642","14343728"
"20101110T","1.632","1.998","1.6033","1.9573","45903757"
"20101111T","1.9067","1.94","1.822","1.869","29171895"
"20101112T","1.8833","2.0333","1.8713","1.9893","40922380"
"20101115T","2.0147","2.196","2.0147","2.0533","39343450"
"20101116T","2.0667","2.0933","1.8947","1.978","20212955"
"20101117T","2.0133","2.05","1.9073","1.966","11249109"
"20101118T","2.0447","2.0493","1.928","1.9927","14340713"
"20101119T","2.0107","2.0913","1.98","2.066","17253891"
"20101122T","2.1047","2.23","2.1","2.2267","22942819"
"20101123T","2.2193","2.3787","2.146","2.3047","23666538"
"20101124T","2.3513","2.398","2.2889","2.3647","21374374"
"20101126T","2.3733","2.4","2.3167","2.3547","5258307"
"20101129T","2.3608","2.3967","2.222","2.2887","17183136"
"20101130T","2.2493","2.3553","2.2273","2.3553","33338353"
"20101201T","2.3913","2.428","2.23","2.29","19478855"
"20101202T","2.2673","2.2865","2.08","2.1567","30102390"
"20101203T","2.134","2.15","2.058","2.0993","17400891"
"20101206T","2.09","2.0967","1.9707","2.0207","19108115"
"20101207T","2.0327","2.16","2.0033","2.104","19657370"
"20101208T","2.1653","2.166","2.1013","2.158","9899695"
"20101209T","2.1673","2.1813","2.11","2.1367","6089742"
"20101210T","2.1367","2.1947","2.0753","2.1013","6440712"
"20101213T","2.1093","2.118","2.0267","2.0367","6154962"
"20101214T","2.0193","2.026","1.8507","1.902","26480762"
"20101215T","1.9113","1.998","1.902","1.9733","11143494"
"20101216T","2.0","2.0607","1.9767","2.054","11849544"
"20101217T","2.0893","2.1027","2.0473","2.0907","12179139"
"20101220T","2.1093","2.146","2.084","2.1133","7849796"
"20101221T","2.12","2.1793","2.114","2.1507","11665164"
"20101222T","2.15","2.1907","2.1133","2.1753","12498834"
"20101223T","2.084","2.1653","1.9947","2.006","23286363"
"20101227T","1.868","1.9053","1.6707","1.7033","139519865"
"20101228T","1.7233","1.7833","1.6667","1.7607","60835545"
"20101229T","1.802","1.8673","1.7667","1.8487","49786925"
"20101230T","1.8467","1.86","1.7587","1.7667","30614490"
"20101231T","1.7713","1.8167","1.7667","1.7753","21265294"
"20110103T","1.7893","1.8","1.7267","1.7747","19243550"
"20110104T","1.7773","1.7967","1.7347","1.778","17810556"
"20110105T","1.7653","1.7933","1.746","1.7887","21698524"
"20110106T","1.7887","1.8667","1.7873","1.8587","30916740"
"20110107T","1.8667","1.9053","1.86","1.8827","33710083"
"20110110T","1.878","1.912","1.87","1.8967","20139170"
"20110111T","1.906","1.914","1.7947","1.7973","25565462"
"20110112T","1.8007","1.8266","1.768","1.7973","14464823"
"20110113T","1.7973","1.798","1.744","1.748","10851325"
"20110114T","1.7433","1.772","1.7073","1.7167","17878806"
"20110118T","1.6987","1.7093","1.65","1.7093","24302553"
"20110119T","1.6847","1.698","1.5833","1.602","35556192"
"20110120T","1.602","1.63","1.4913","1.508","34197853"
"20110121T","1.5413","1.5727","1.514","1.536","18250056"
"20110124T","1.5687","1.654","1.5487","1.6327","24672408"
"20110125T","1.6433","1.6593","1.6013","1.6453","19071845"
"20110126T","1.6473","1.6587","1.6067","1.65","16197997"
"20110127T","1.6493","1.672","1.6353","1.6613","13434818"
"20110128T","1.6587","1.6587","1.5833","1.6007","15724657"
"20110131T","1.6033","1.608","1.5667","1.6067","12453204"
"20110201T","1.6207","1.6487","1.5693","1.594","10616860"
"20110202T","1.6107","1.612","1.5779","1.596","8542076"
"20110203T","1.588","1.5933","1.5433","1.5753","7639751"
"20110204T","1.5627","1.578","1.548","1.564","8158751"
"20110207T","1.5507","1.5507","1.5253","1.538","13425158"
"20110208T","1.5853","1.6833","1.5333","1.6327","52573219"
"20110209T","1.6087","1.612","1.5193","1.5473","39533410"
"20110210T","1.5507","1.576","1.5207","1.5477","12540294"
"20110211T","1.55","1.5833","1.5293","1.55","9517075"
"20110214T","1.576","1.6093","1.5367","1.5387","19245050"
"20110215T","1.534","1.5447","1.504","1.5227","14173043"
"20110216T","1.54","1.6647","1.538","1.6487","61693559"
"20110217T","1.642","1.6993","1.57","1.5733","39272290"
"20110218T","1.5553","1.566","1.5307","1.5453","35559282"
"20110222T","1.5253","1.5333","1.452","1.458","30968085"
"20110223T","1.4787","1.5","1.4073","1.4553","24082608"
"20110224T","1.452","1.5053","1.4333","1.502","15828742"
"20110225T","1.5207","1.59","1.5127","1.574","20193845"
"20110228T","1.5827","1.6067","1.5667","1.5927","15766582"
"20110301T","1.6033","1.6213","1.58","1.596","16595242"
"20110302T","1.588","1.6187","1.5817","1.6013","9949405"
"20110303T","1.632","1.6527","1.604","1.624","9602095"
"20110304T","1.632","1.666","1.5853","1.6633","23701488"
"20110307T","1.662","1.6933","1.6467","1.6627","30501450"
"20110308T","1.64","1.664","1.6","1.644","20997755"
"20110309T","1.644","1.666","1.618","1.648","13870808"
"20110310T","1.6293","1.6327","1.582","1.6007","15254197"
"20110311T","1.59","1.6167","1.5687","1.6047","13961903"
"20110314T","1.588","1.6","1.5467","1.55","17489556"
"20110315T","1.48","1.5307","1.4533","1.53","19781330"
"20110316T","1.524","1.55","1.5127","1.5213","17372631"
"20110317T","1.5493","1.562","1.5093","1.5207","13837553"
"20110318T","1.546","1.546","1.5007","1.5307","10317340"
"20110321T","1.5367","1.5367","1.5027","1.5153","6174747"
"20110322T","1.5153","1.524","1.4667","1.4793","8742191"
"20110323T","1.474","1.4847","1.4513","1.4807","6341892"
"20110324T","1.476","1.492","1.4653","1.4887","6932397"
"20110325T","1.4953","1.5333","1.4933","1.5167","8518826"
"20110328T","1.5133","1.5693","1.5033","1.55","15870262"
"20110329T","1.5533","1.6","1.5473","1.5947","11330859"
"20110330T","1.6073","1.6327","1.534","1.5807","18349146"
"20110331T","1.77","1.914","1.7667","1.85","172718764"
"20110401T","1.83","1.8787","1.7713","1.7773","42971784"
"20110404T","1.7887","1.8","1.682","1.722","39138385"
"20110405T","1.7267","1.8","1.7127","1.78","47712381"
"20110406T","1.7993","1.8007","1.72","1.766","19324445"
"20110407T","1.79","1.8627","1.7633","1.816","42136719"
"20110408T","1.8387","1.84","1.7573","1.766","29193765"
"20110411T","1.7647","1.7687","1.668","1.6847","20537240"
"20110412T","1.672","1.6807","1.62","1.6433","20361005"
"20110413T","1.6753","1.7127","1.654","1.662","18171651"
"20110414T","1.658","1.6853","1.6133","1.676","14750723"
"20110415T","1.71","1.7453","1.694","1.7053","14151758"
"20110418T","1.6753","1.708","1.624","1.6687","15508057"
"20110419T","1.684","1.684","1.6433","1.6773","8225891"
"20110420T","1.7133","1.7393","1.6867","1.7167","12557529"
"20110421T","1.7233","1.7987","1.706","1.7827","20773625"
"20110425T","1.78","1.782","1.7313","1.7593","12012579"
"20110426T","1.7773","1.8167","1.754","1.7953","20585135"
"20110427T","1.7953","1.824","1.7753","1.8053","14953508"
"20110428T","1.8047","1.846","1.7813","1.844","24660198"
"20110429T","1.846","1.858","1.828","1.84","10893595"
"20110502T","1.84","1.8533","1.804","1.83","11768394"
"20110503T","1.8253","1.826","1.7667","1.7913","13707968"
"20110504T","1.7853","1.8","1.7167","1.7793","15462742"
"20110505T","1.8133","1.8293","1.7447","1.7627","18276726"
"20110506T","1.7933","1.8467","1.7747","1.808","14724083"
"20110509T","1.8","1.8667","1.79","1.8607","13744538"
"20110510T","1.8827","1.93","1.8607","1.8887","23028258"
"20110511T","1.88","1.8866","1.7947","1.8047","14422163"
"20110512T","1.8047","1.8493","1.7767","1.8447","9414595"
"20110513T","1.8667","1.8793","1.82","1.8367","9920500"
"20110516T","1.866","1.866","1.77","1.7733","11334324"
"20110517T","1.8","1.8","1.7147","1.7307","18512331"
"20110518T","1.74","1.7647","1.7013","1.7567","10941100"
"20110519T","1.802","1.896","1.7733","1.88","39816985"
"20110520T","1.884","1.8853","1.8233","1.8647","12636504"
"20110523T","1.8413","1.8413","1.7747","1.788","12953214"
"20110524T","1.8013","1.8333","1.7733","1.7813","9205090"
"20110525T","1.7933","1.934","1.7447","1.932","70377850"
"20110526T","1.9213","1.984","1.8733","1.9653","50053340"
"20110527T","1.9693","1.978","1.9213","1.97","25306022"
"20110531T","1.9793","2.0187","1.97","2.0093","49336640"
"20110601T","2.0","2.0067","1.892","1.9011","22948429"
"20110602T","1.9013","1.9547","1.9007","1.9173","14750858"
"20110603T","1.9967","2.1","1.9667","2.0087","93130963"
"20110606T","2.0067","2.0087","1.884","1.9133","34963738"
"20110607T","1.9293","1.9593","1.884","1.8913","18331476"
"20110608T","1.896","1.9067","1.8013","1.808","25437527"
"20110609T","1.8287","1.8733","1.8067","1.8413","24046788"
"20110610T","1.8347","1.8866","1.8233","1.8573","23497968"
"20110613T","1.8713","1.9253","1.8587","1.8953","25700867"
"20110614T","1.9027","1.98","1.9013","1.9067","23597988"
"20110615T","1.896","1.8967","1.8047","1.8213","20170160"
"20110616T","1.8447","1.8667","1.716","1.7667","27631846"
"20110617T","1.7913","1.8467","1.7427","1.7667","25704962"
"20110620T","1.7527","1.764","1.7","1.734","23065623"
"20110621T","1.7493","1.8487","1.7333","1.8353","22439434"
"20110622T","1.8247","1.8833","1.8067","1.814","22132984"
"20110623T","1.8133","1.848","1.7473","1.8473","17549841"
"20110624T","1.8427","1.8647","1.8173","1.8377","54126843"
"20110627T","1.8487","1.8853","1.8207","1.8307","27140491"
"20110628T","1.8527","1.8833","1.8447","1.874","13336973"
"20110629T","1.9","1.9393","1.8713","1.886","21888109"
"20110630T","1.9","1.9553","1.8933","1.942","14196503"
"20110701T","1.938","1.9733","1.92","1.9347","12822579"
"20110705T","1.9347","1.968","1.914","1.9427","14939828"
"20110706T","1.9427","1.9427","1.9033","1.9307","13903328"
"20110707T","1.9427","2.0","1.934","1.982","19917305"
"20110708T","1.9927","1.9927","1.906","1.9207","18608691"
"20110711T","1.8933","1.902","1.8667","1.89","14635538"
"20110712T","1.8913","1.9393","1.8667","1.878","15679582"
"20110713T","1.8953","1.9353","1.86","1.9093","15989122"
"20110714T","1.902","1.9307","1.8167","1.8407","17383956"
"20110715T","1.8527","1.8553","1.8267","1.8387","10634305"
"20110718T","1.8227","1.83","1.7753","1.8153","12778149"
"20110719T","1.8387","1.874","1.836","1.8593","15390712"
"20110720T","1.8667","2.0293","1.8533","1.9127","45724387"
"20110721T","1.9273","1.944","1.8733","1.9133","15171082"
"20110722T","1.9133","1.9693","1.9034","1.9527","8752016"
"20110725T","1.934","1.95","1.896","1.8993","10099360"
"20110726T","1.8873","1.918","1.8647","1.8667","11407974"
"20110727T","1.9","1.9","1.834","1.8427","14376038"
"20110728T","1.84","1.9033","1.836","1.878","14079428"
"20110729T","1.8533","1.8933","1.8333","1.878","14221898"
"20110801T","1.9113","1.932","1.8807","1.918","17472321"
"20110802T","1.9127","1.9467","1.818","1.8227","23238288"
"20110803T","1.8333","1.8553","1.7557","1.8133","26853137"
"20110804T","1.7673","1.7927","1.6447","1.65","45963472"
"20110805T","1.666","1.692","1.522","1.616","29465625"
"20110808T","1.54","1.6293","1.54","1.576","39127060"
"20110809T","1.61","1.6967","1.58","1.6707","20000720"
"20110810T","1.696","1.696","1.5753","1.588","23462193"
"20110811T","1.6027","1.7167","1.6","1.6867","12448254"
"20110812T","1.7067","1.8093","1.6907","1.754","15135292"
"20110815T","1.7747","1.7833","1.7287","1.7487","11078574"
"20110816T","1.742","1.7693","1.722","1.74","8065316"
"20110817T","1.7593","1.7767","1.7007","1.722","9613825"
"20110818T","1.6667","1.6767","1.5647","1.6173","15848527"
"20110819T","1.5907","1.6147","1.4667","1.4867","20626145"
"20110822T","1.5407","1.5867","1.4453","1.4633","14791208"
"20110823T","1.462","1.5407","1.4333","1.5307","13034513"
"20110824T","1.54","1.5953","1.522","1.5913","10263565"
"20110825T","1.5913","1.5913","1.5267","1.5407","10196095"
"20110826T","1.514","1.5967","1.4713","1.582","11426334"
"20110829T","1.6147","1.6567","1.6013","1.6473","12049524"
"20110830T","1.6333","1.6513","1.606","1.642","5492382"
"20110831T","1.6533","1.7","1.6187","1.6493","12356019"
"20110901T","1.644","1.658","1.589","1.6","12721269"
"20110902T","1.5773","1.5993","1.512","1.538","11547459"
"20110906T","1.5","1.5467","1.486","1.5293","12146394"
"20110907T","1.5593","1.6","1.552","1.5893","6887787"
"20110908T","1.572","1.602","1.552","1.574","7585451"
"20110909T","1.558","1.5713","1.5033","1.5313","10038940"
"20110912T","1.5","1.554","1.4967","1.5253","8498561"
"20110913T","1.534","1.6067","1.5167","1.6053","10896910"
"20110914T","1.6167","1.656","1.586","1.6227","12461649"
"20110915T","1.6387","1.662","1.622","1.6547","8437676"
"20110916T","1.652","1.7227","1.6327","1.72","21001384"
"20110919T","1.6633","1.7207","1.588","1.718","17360226"
"20110920T","1.732","1.7733","1.7113","1.734","17705256"
"20110921T","1.73","1.7967","1.7133","1.7233","14813648"
"20110922T","1.7093","1.7407","1.6587","1.7087","11637024"
"20110923T","1.6993","1.7747","1.69","1.7587","17344911"
"20110926T","1.768","1.768","1.66","1.7013","14016218"
"20110927T","1.7333","1.7993","1.7047","1.746","10116430"
"20110928T","1.7333","1.7667","1.634","1.6393","10848085"
"20110929T","1.7147","1.7213","1.57","1.608","13943168"
"20110930T","1.6533","1.6593","1.566","1.626","20040800"
"20111003T","1.6633","1.6667","1.55","1.582","15346942"
"20111004T","1.5527","1.6213","1.5287","1.5773","18003201"
"20111005T","1.602","1.7223","1.5567","1.6913","18436011"
"20111006T","1.6913","1.84","1.668","1.7973","26535377"
"20111007T","1.7987","1.84","1.7367","1.7993","19673210"
"20111010T","1.8207","1.8787","1.8","1.8587","13851233"
"20111011T","1.834","1.8513","1.806","1.8407","8634041"
"20111012T","1.8167","1.8667","1.8133","1.8533","16850452"
"20111013T","1.842","1.898","1.8293","1.8627","15651187"
"20111014T","1.8667","1.9033","1.8173","1.87","21007024"
"20111017T","1.8573","1.8667","1.8173","1.828","11316579"
"20111018T","1.82","1.8952","1.7807","1.8893","14920343"
"20111019T","1.868","1.8707","1.82","1.838","11892744"
"20111020T","1.8293","1.8313","1.8","1.8227","14994698"
"20111021T","1.8267","1.8867","1.8007","1.8687","17138241"
"20111024T","1.858","1.926","1.85","1.9033","14108243"
"20111025T","1.882","1.924","1.8533","1.8833","9815560"
"20111026T","1.8793","1.8913","1.8267","1.8653","7657181"
"20111027T","1.8893","1.93","1.874","1.9173","13040018"
"20111028T","1.9","2.0","1.8673","1.9913","18959586"
"20111031T","1.9667","1.9673","1.9167","1.958","17009526"
"20111101T","1.8927","1.928","1.8667","1.9253","9527620"
"20111102T","1.9333","1.9507","1.8833","1.914","13123133"
"20111103T","2.0","2.166","1.9687","2.164","37642826"
"20111104T","2.0973","2.16","2.034","2.154","45492832"
"20111107T","2.1093","2.1333","2.05","2.0847","18988026"
"20111108T","2.0913","2.1333","2.048","2.1227","17517441"
"20111109T","2.058","2.0993","2.02","2.0587","14304833"
"20111110T","2.0627","2.1","2.0433","2.0887","11209089"
"20111111T","2.1267","2.3","2.038","2.2427","58024111"
"20111114T","2.2","2.236","2.1747","2.2147","19884830"
"20111115T","2.1947","2.2933","2.182","2.262","13362068"
"20111116T","2.232","2.3333","2.2269","2.3293","27492826"
"20111117T","2.3","2.3267","2.2127","2.2453","20238965"
"20111118T","2.2427","2.274","2.1693","2.1733","13537928"
"20111121T","2.1627","2.1627","2.07","2.1173","15472852"
"20111122T","2.1173","2.186","2.07","2.138","10987765"
"20111123T","2.1173","2.1367","2.0833","2.0967","6775692"
"20111125T","2.1033","2.1607","2.072","2.1107","3593923"
"20111128T","2.1333","2.2187","2.1207","2.1707","10216855"
"20111129T","2.166","2.2047","2.1087","2.1167","8865806"
"20111130T","2.1667","2.1953","2.148","2.1827","11403969"
"20111201T","2.1713","2.266","2.132","2.1733","15451612"
"20111202T","2.1887","2.246","2.16","2.22","12040764"
"20111205T","2.2353","2.3333","2.2287","2.2947","17400741"
"20111206T","2.28","2.332","2.2687","2.3247","14275643"
"20111207T","2.3087","2.326","2.2533","2.2793","10113655"
"20111208T","2.056","2.11","1.974","2.0593","49573235"
"20111209T","2.036","2.0747","2.0187","2.0693","18591651"
"20111212T","2.0293","2.0413","2.0013","2.0273","11379849"
"20111213T","2.038","2.062","1.9274","1.9633","14910218"
"20111214T","1.9667","1.9787","1.8667","1.902","17457591"
"20111215T","1.9113","1.9447","1.8747","1.908","10503910"
"20111216T","1.9193","1.9287","1.8653","1.8667","15444067"
"20111219T","1.8727","1.9","1.8247","1.85","14804273"
"20111220T","1.87","1.8967","1.8477","1.86","12649209"
"20111221T","1.8607","1.8713","1.7353","1.838","25581092"
"20111222T","1.84","1.87","1.82","1.8513","15139522"
"20111223T","1.8667","1.8667","1.8347","1.86","8870846"
"20111227T","1.844","1.918","1.8427","1.9047","11661039"
"20111228T","1.9327","1.9493","1.8693","1.9007","8627066"
"20111229T","1.906","1.956","1.9033","1.9153","7322246"
"20111230T","1.8993","1.932","1.8833","1.904","5094897"
"20120103T","1.9293","1.9667","1.8433","1.872","13920773"
"20120104T","1.8807","1.9113","1.8333","1.8473","9450535"
"20120105T","1.8507","1.862","1.79","1.808","15081472"
"20120106T","1.8133","1.8527","1.7607","1.794","14794298"
"20120109T","1.8","1.8327","1.7413","1.8167","13454258"
"20120110T","1.8293","1.8507","1.8167","1.8413","10072975"
"20120111T","1.8413","1.892","1.82","1.882","10082080"
"20120112T","1.8987","1.908","1.8537","1.8833","10939495"
"20120113T","1.8933","1.9","1.5093","1.5193","82000894"
"20120117T","1.7747","1.8227","1.7607","1.7733","69769330"
"20120118T","1.7793","1.792","1.75","1.7873","18902736"
"20120119T","1.8127","1.8493","1.774","1.784","18693321"
"20120120T","1.7933","1.8","1.76","1.7733","9934330"
"20120123T","1.7873","1.814","1.7733","1.7847","8917991"
"20120124T","1.7753","1.8453","1.7627","1.828","12868704"
"20120125T","1.818","1.8673","1.8033","1.8647","9166675"
"20120126T","1.8713","1.972","1.8667","1.9293","19065410"
"20120127T","1.9","1.9813","1.9","1.9553","11225409"
"20120130T","1.966","1.974","1.9019","1.9713","10934680"
"20120131T","1.9933","2.0","1.9247","1.938","14344688"
"20120201T","1.938","1.98","1.9333","1.972","7843856"
"20120202T","1.9813","2.0587","1.9737","2.0167","12084144"
"20120203T","2.0273","2.0887","2.0167","2.0767","11466264"
"20120206T","2.0733","2.1267","2.07","2.12","9777910"
"20120207T","2.12","2.12","2.0547","2.1067","15322537"
"20120208T","2.1067","2.134","2.086","2.1287","9354385"
"20120209T","2.1333","2.1933","2.0953","2.172","19154150"
"20120210T","2.1507","2.1513","1.9893","2.0733","28112071"
"20120213T","2.1033","2.1373","2.06","2.0993","17367861"
"20120214T","2.116","2.2527","2.0933","2.2113","27159121"
"20120215T","2.2067","2.294","2.1513","2.24","41355909"
"20120216T","2.2333","2.3007","2.1693","2.2787","33294523"
"20120217T","2.266","2.3313","2.2333","2.3313","20649665"
"20120221T","2.3247","2.3247","2.254","2.3","17036811"
"20120222T","2.3","2.3147","2.1667","2.2813","24818538"
"20120223T","2.266","2.3313","2.2373","2.302","12305169"
"20120224T","2.282","2.3013","2.218","2.25","14396483"
"20120227T","2.2273","2.2667","2.2","2.2413","9089290"
"20120228T","2.2427","2.296","2.2113","2.254","9182740"
"20120229T","2.254","2.2747","2.2093","2.2273","8033756"
"20120301T","2.234","2.3","2.2203","2.294","10551520"
"20120302T","2.2933","2.3","2.2473","2.2693","8249561"
"20120305T","2.29","2.2933","2.2307","2.2513","7004066"
"20120306T","2.2167","2.2187","2.1747","2.2073","8606231"
"20120307T","2.208","2.221","2.194","2.208","5472462"
"20120308T","2.2073","2.2327","2.2027","2.2047","9499000"
"20120309T","2.2133","2.354","2.2133","2.316","23299833"
"20120312T","2.3127","2.4193","2.3067","2.4007","29435985"
"20120313T","2.434","2.4393","2.3667","2.406","15023137"
"20120314T","2.4","2.4","2.32","2.3527","12771954"
"20120315T","2.352","2.3653","2.3187","2.3333","8573936"
"20120316T","2.3267","2.3927","2.322","2.3547","10925035"
"20120319T","2.3507","2.3547","2.3027","2.332","15233782"
"20120320T","2.332","2.3467","2.3047","2.3307","8505011"
"20120321T","2.3293","2.3533","2.3067","2.3433","9106540"
"20120322T","2.3313","2.3433","2.2867","2.2933","7835291"
"20120323T","2.284","2.3087","2.21","2.272","17558496"
"20120326T","2.3727","2.5393","2.3361","2.4933","47107026"
"20120327T","2.4773","2.6633","2.4687","2.5293","38087651"
"20120328T","2.5187","2.5627","2.474","2.5233","14323043"
"20120329T","2.546","2.546","2.4687","2.4887","11945019"
"20120330T","2.5013","2.5293","2.4453","2.4827","13294673"
"20120402T","2.4887","2.5313","2.4353","2.4387","15420052"
"20120403T","2.4467","2.5646","2.4447","2.534","16122052"
"20120404T","2.3513","2.366","2.3127","2.3333","67219601"
"20120405T","2.34","2.3627","2.294","2.2987","22640659"
"20120409T","2.2733","2.286","2.2067","2.21","24827313"
"20120410T","2.21","2.2566","2.14","2.164","27715021"
"20120411T","2.216","2.2193","2.134","2.206","16580197"
"20120412T","2.2513","2.2987","2.1947","2.2293","15507052"
"20120413T","2.2627","2.2693","2.19","2.2393","9743695"
"20120416T","2.2273","2.2467","2.1393","2.15","16458052"
"20120417T","2.162","2.2047","2.136","2.1493","16724437"
"20120418T","2.1393","2.1833","2.102","2.1773","12346434"
"20120419T","2.1833","2.2287","2.1667","2.2107","11623164"
"20120420T","2.2093","2.2487","2.196","2.2107","12326604"
"20120423T","2.1907","2.198","2.114","2.1293","13360718"
"20120424T","2.1213","2.1467","2.0667","2.1213","10117000"
"20120425T","2.138","2.1993","2.138","2.194","10681990"
"20120426T","2.1973","2.2347","2.194","2.2327","6367782"
"20120427T","2.24","2.242","2.194","2.2227","8835071"
"20120430T","2.218","2.224","2.172","2.2087","6207717"
"20120501T","2.2087","2.2807","2.2087","2.252","9884200"
"20120502T","2.2333","2.2927","2.226","2.2627","7458761"
"20120503T","2.2607","2.2667","2.142","2.164","12590814"
"20120504T","2.1547","2.164","2.0933","2.122","18709281"
"20120507T","2.1307","2.172","2.1073","2.1647","17369526"
"20120508T","2.1667","2.1819","1.958","2.0127","46457677"
"20120509T","2.02","2.0513","1.984","2.004","28921831"
"20120510T","2.198","2.312","2.16","2.1973","83344473"
